"Year","Month","CPC","HS Code","HS Description","Destination","Quantity","Sup. Unit","Gross Wt. (Kg)","Net.Wt. (Kg)","FOB Value (ETB)","FOB Value (USD)","Total tax (ETB)","Total tax (USD)"
"2017","01","1000 100","07031000","Onions and shallots, fresh or chilled","Djibouti","","","1202474.0","1177387.0","4196465.7","173286.659316428","0.0","0.0"
"2017","01","1000 100","41139000","-OTHER","China","","","23759.0","23522.6","4186431.92","172872.329654085","0.0","0.0"
"2017","01","1000 100","12074090","--OTHER","United Kingdom","","","190380.0","190000.0","4102927.45","169424.139753643","0.0","0.0"
"2017","01","1000 100","07129090","---Other vegetables","Hong Kong","","","6051.2","5139.37","4082514.08","168581.20073172","0.0","0.0"
"2017","01","1000 100","71031000","-Unworked or simply sawn or roughly shaped","United Arab Emirates","","","10.5","9.88","4051537.33","167302.063022104","0.0","0.0"
"2017","01","1071 100","44072900","--OTHER","Sudan","5168.0","M3","1818950.0","1818950.0","4007637.54","165489.288059165","0.0","0.0"
"2017","01","1000 100","02021000","Frozen bovine carcasses and half carcasses","United Arab Emirates","","","50985.8","50705.35","4002168.69","165263.460228188","0.0","0.0"
"2017","01","1000 100","07020000","Tomatoes fresh or chilled","Djibouti","","","944100.0","781938.0","3912188.57","161547.868224257","0.0","0.0"
"2017","01","1071 100","06031900","--Other cut flowers","United States","","","26570.0","23397.2","3897719.02","160950.37019602","0.0","0.0"
"2017","01","1071 100","06031900","--Other cut flowers","Japan","","","46264.0","40711.72","3791427.04","156561.204778481","0.0","0.0"
"2017","01","1071 100","20089900","--Other fruit, etc, prepared or preserved, nes","United Arab Emirates","","","6124.98","3122.96","3687668.27","152276.644409483","0.0","0.0"
"2017","01","1000 101","30023000","-Vaccines for veterinary medicine","Chad","6000000.0","LTR","4846.0","4834.0","3682318.93","152055.751561926","0.0","0.0"
"2017","01","1000 505","61099000","-T-SHIRTS, SINGLETS, ETC, OF OTHER TEXTILES, NES, KNITTED OR CROCHETED","United States","139812.0","UN","41926.9","38466.4","3590519.15","148265.019469874","0.0","0.0"
"2017","01","1071 100","01022910","---OX","Djibouti","253.0","UN","84160.0","84160.0","3574406.7","147599.680388489","0.0","0.0"
"2017","01","3052 505","41120000","LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..","India","","","13694.0","13216.0","3504044.55","144694.182574979","0.0","0.0"
"2017","01","1000 100","34049000","-other","Germany","","","16411.5","16340.0","3491375.31","144171.025606085","0.0","0.0"
"2017","01","1000 100","15219020","---Bee Wax","Japan","","","18046.0","18000.0","3477827.7","143611.597685914","0.0","0.0"
"2017","01","3052 505","62046300","WOMEN'S OR GIRLS' TROUSERS, BREECHES, ETC, OF SYNTHETIC FIBRES.","Germany","9092.0","UN","3087.56","2761.01","3460606.33","142900.467442158","0.0","0.0"
"2017","01","1071 100","08039000","-OTHER","Somalia","","","629185.0","629185.0","3425330.73","141443.815269502","0.0","0.0"
"2017","01","3052 505","61034900","--MEN'S OR BOYS' TROUSERS, ETC, OF OTHER TEXTILES, KNITTED OR CROCHETED","United States","48700.0","UN","11711.45","10325.15","3376261.94","139417.594324625","0.0","0.0"
"2017","01","1000 100","02069000","Frozen edible offal of sheep, goats, horses...","Viet Nam","","","55507.0","53595.0","3375076.59","139368.647101817","0.0","0.0"
"2017","01","1000 100","15219020","---Bee Wax","United States","","","17600.0","17500.0","3365007.62","138952.864322023","0.0","0.0"
"2017","01","1000 100","07132000","Dried chickpeas, shelled","Sudan","","","216031.0","215600.0","3297750.56","136175.586470605","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Yemen","","","36480.0","36000.0","3292395.52","135954.45825023","0.0","0.0"
"2017","01","1071 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Yemen","","","200400.0","200000.0","3222147.56","133053.675738844","0.0","0.0"
"2017","01","1000 505","41131000","LEATHER OF GOATS OR KIDS PREPARED AFTER TANNING OR CRUSTING..","Hong Kong","","","7921.0","7508.0","3202922.1","132259.789651029","0.0","0.0"
"2017","01","1000 100","02011000","Fresh or chilled bovine carcasses and half carcasses","Bahrain","","","41714.0","40766.5","3179954.25","131311.367268313","0.0","0.0"
"2017","01","1000 100","26140000","Titanium ores and concentrates","China","","","3074.6","3000.0","3176480.33","131167.917033146","0.0","0.0"
"2017","01","1000 100","41120000","LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..","Hong Kong","","","4490.5","4357.9","3150187.56","130082.197143317","0.0","0.0"
"2017","01","1000 100","12079990","--OTHER","Germany","","","151728.0","151400.0","3140540.83","129683.850121196","0.0","0.0"
"2017","01","3052 505","62034200","--MEN'S OR BOYS' TROUSERS, BREECHES, ETC, OF COTTON","United States","28604.0","UN","14550.1","11079.1","3096694.53","127873.283946335","0.0","0.0"
"2017","01","3052 505","85171200","-- Telephone for cellular networks or for other wireless networks","Nigeria","14220.0","UN","2576.65","2362.25","3079155.78","127149.047978891","0.0","0.0"
"2017","01","1000 100","61091000","-T-SHIRTS, SINGLETS AND OTHER VESTS, OF COTTON, KNITTED OR CROCHETED","Germany","93800.0","UN","10941.6","9755.8","3073168.79","126901.824345808","0.0","0.0"
"2017","01","1000 101","30023000","-Vaccines for veterinary medicine","Angola","6500000.0","LTR","7250.0","7242.0","3054674.53","126138.13204828","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Russian Federation","","","19456.0","19200.0","3044166.48","125704.218128662","0.0","0.0"
"2017","01","1000 100","64029900","--Other","Hong Kong","9057.0","2UN","6000.0","3233.0","3016902.18","124578.38038725","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","South Africa","","","19440.0","19200.0","2982698.46","123165.989866581","0.0","0.0"
"2017","01","3052 505","41131000","LEATHER OF GOATS OR KIDS PREPARED AFTER TANNING OR CRUSTING..","Hong Kong","","","6116.0","5884.0","2967346.5","122532.05406142","0.0","0.0"
"2017","01","3052 505","61099000","-T-SHIRTS, SINGLETS, ETC, OF OTHER TEXTILES, NES, KNITTED OR CROCHETED","Japan","76250.0","UN","9150.0","7625.0","2946492.9","121670.936412175","0.0","0.0"
"2017","01","1071 100","07051100","Cabbage lettuce, fresh or chilled","Somalia","","","663786.0","646065.0","2945610.08","121634.481704925","0.0","0.0"
"2017","01","1000 100","09093100","--NEITHER CRUSHED NOR GROUND","Saudi Arabia","","","45000.0","45000.0","2923756.84","120732.085444462","0.0","0.0"
"2017","01","1000 100","41120000","LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..","China","","","8688.0","8487.8","2922255.21","120670.077920791","0.0","0.0"
"2017","01","3052 506","61071100","--MEN'S OR BOYS' UNDERPANTS AND BRIEFS OF COTTON, KNITTED OR CROCHETED","Germany","42178.0","UN","9185.67","8268.87","2868062.69","118432.280349673","0.0","0.0"
"2017","01","1000 101","52051200","UNCOMBED SINGLE COTTON YARN, WITH >=85% COTTON, NPRS, >14MN BUT <=43MN","China","","","55770.0","54090.0","2860398.34","118115.792690229","0.0","0.0"
"2017","01","3052 505","85171200","-- Telephone for cellular networks or for other wireless networks","Rwanda","5760.0","UN","1346.43","1225.68","2850100.25","117690.548749014","0.0","0.0"
"2017","01","1000 100","41120000","LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..","Viet Nam","","","2903.0","2761.0","2846588.03","117545.516973684","0.0","0.0"
"2017","01","1000 101","13019000","NATURAL GUMS,RESINS,GUM-RESINS,NATURAL OLEOR'INS/BALSAMS (EXCL. GUMARABIC)","Greece","","","30225.0","29985.0","2834731.51","117055.920039311","0.0","0.0"
"2017","01","1000 100","13019000","NATURAL GUMS,RESINS,GUM-RESINS,NATURAL OLEOR'INS/BALSAMS (EXCL. GUMARABIC)","China","","","52208.0","52000.0","2833970.88","117024.510982","0.0","0.0"
