"Year","Month","CPC","HS Code","HS Description","Destination","Quantity","Sup. Unit","Gross Wt. (Kg)","Net.Wt. (Kg)","FOB Value (ETB)","FOB Value (USD)"
"2018","01","3052 505","85171200","-- Telephone for cellular networks or for other wireless networks","Nigeria","16140.0","UN","3323.39","3049.45","5986525.67","217774.992997326"
"2018","01","1000 100","07031000","Onions and shallots, fresh or chilled","Djibouti","","","1382165.0","1345974.0","5876374.65","213767.971407265"
"2018","01","1000 505","41120000","LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..","Italy","","","5818.6","5291.1","5704075.83","207500.166609069"
"2018","01","1000 100","12074010","---STERALIZED","Netherlands","","","114912.0","114000.0","5640667.56","205193.530620782"
"2018","01","1000 100","02021000","Frozen bovine carcasses and half carcasses","United Arab Emirates","","","64795.5","64704.8","5606368.34","203945.809854672"
"2018","01","1000 100","06031900","--Other cut flowers","Netherlands","","","36538.0","32157.88","5580854.62","203017.683842922"
"2018","01","3052 505","61091000","-T-SHIRTS, SINGLETS AND OTHER VESTS, OF COTTON, KNITTED OR CROCHETED","Italy","129809.0","UN","15462.54","14605.0","5478248.77","199285.136870441"
"2018","01","1071 100","01022910","---OX","Yemen","346.0","UN","107740.0","107740.0","5470645.27","199008.540351771"
"2018","01","1000 100","41131000","LEATHER OF GOATS OR KIDS PREPARED AFTER TANNING OR CRUSTING..","Hong Kong","","","12080.0","11940.0","5451380.2","198307.724767639"
"2018","01","3052 505","64059000","-Other","Canada","15879.0","2UN","13901.0","8574.0","5349946.17","194617.805707634"
"2018","01","1000 100","07133900","Dried beans, shelled, nes","Indonesia","","","264940.0","264000.0","5276656.38","191951.704468979"
"2018","01","1000 100","12011000","-SEED","Viet Nam","","","462924.0","462000.0","5269038.03","191674.567744048"
"2018","01","3052 505","61102000","-JERSEYS, PULLOVERS, ETC, OF COTTON, KNITTED OR CROCHETED","United States","100160.0","UN","25497.61","23217.59","5268297.22","191647.618909038"
"2018","01","1071 100","06031900","--Other cut flowers","United States","","","28683.64","25241.2","5129308.73","186591.561505302"
"2018","01","1000 100","12074090","--OTHER","Yemen","","","150300.0","150000.0","5069986.2","184433.55462995"
"2018","01","1071 100","06031100","--Roses","United Arab Emirates","","","53619.0","47181.78","5046160.46","183566.833154477"
"2018","01","1000 100","13019000","NATURAL GUMS,RESINS,GUM-RESINS,NATURAL OLEOR'INS/BALSAMS (EXCL. GUMARABIC)","Iraq","","","32128.0","32000.0","5013026.88","182361.515487732"
"2018","01","1071 100","07082000","Beans, fresh or chilled","Netherlands","","","217870.26","189704.46","5003059.89","181998.941050219"
"2018","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Portugal","","","40800.0","40800.0","4993286.77","181643.419123665"
"2018","01","1000 100","12019000","-OTHER","Singapore","","","440840.0","440000.0","4959394.44","180410.500009094"
"2018","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","South Africa","","","250500.0","250000.0","4810295.0","174986.631259208"
"2018","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Canada","","","31590.0","31200.0","4775144.93","173707.958675131"
"2018","01","3052 505","41120000","LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..","Indonesia","","","3564.5","3430.0","4765572.06","173359.721348151"
"2018","01","3052 506","64051000","-FOOTWEAR, NES, WITH LEATHER OR COMPOSITION LEATHER UPPERS","China","10060.0","2UN","8073.28","4639.47","4735615.41","172269.972534968"
"2018","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","United Arab Emirates","","","39685.75","39140.0","4732245.75","172147.392640826"
"2018","01","1000 100","41131000","LEATHER OF GOATS OR KIDS PREPARED AFTER TANNING OR CRUSTING..","China","","","9945.0","9835.0","4617790.03","167983.776714746"
"2018","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Ukraine","","","58320.0","57600.0","4583137.02","166723.185943724"
"2018","01","1071 100","06031900","--Other cut flowers","China","","","26083.0","22952.92","4567421.12","166151.480383419"
